"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 14 09:46:09 IST 2022","Wed Sep 14 09:46:37 IST 2022","28227","","Data_Disclosure_contact.spec.js","mashup Test","","","clickonuser",""
"passed","Wed Sep 14 09:46:37 IST 2022","Wed Sep 14 09:47:15 IST 2022","37788","","Data_Disclosure_contact.spec.js","mashup Test","","","Data Disclosure for Contact",""
